repo,sha,author,date,message,url
CSIS-iLab/tradeguys-viz,78552c19e21786639c69cabade4b243b050ffb35,dependabot[bot],2025-08-22T02:14:41.000Z,Bump form-data and node-sass in /tariff-impact-states,https://github.com/CSIS-iLab/tradeguys-viz/commit/78552c19e21786639c69cabade4b243b050ffb35
vinay-004/vinay-004.github.io,5ebbe78cfca2f2aa1eb843ecdc978d6115b6e9a3,Vinay Jain,2025-09-26T11:44:48.000-07:00,Merge pull request #1 from vinay-004/dependabot/npm_and_yarn/node-sass-7.0.0,https://github.com/vinay-004/vinay-004.github.io/commit/5ebbe78cfca2f2aa1eb843ecdc978d6115b6e9a3
BlenderWang/gatsby-portfolio-2019,0c6591a00c02185bb741571dd445130ef5ce37b6,Shirley Wang,2025-09-27T08:39:14.000+02:00,Merge pull request #1 from BlenderWang/dependabot/npm_and_yarn/node-sass-7.0.0,https://github.com/BlenderWang/gatsby-portfolio-2019/commit/0c6591a00c02185bb741571dd445130ef5ce37b6
dipayanmaji/inshorts_clone,923668fdaf674ac37fa14747a5818c89b7b0b732,Dipayan Maji,2025-10-09T02:05:26.000+05:30,replace dependency node-sass by sass,https://github.com/dipayanmaji/inshorts_clone/commit/923668fdaf674ac37fa14747a5818c89b7b0b732
paroxp/nelele,25625006053552afbef87277a865352a99f6faae,Rafal Proszowski,2025-10-19T12:41:31.000+01:00,npm: deprecate node-sass in favour of sass,https://github.com/paroxp/nelele/commit/25625006053552afbef87277a865352a99f6faae
ella-jennings/lost-cities-calculator,c72b8652f378b4ad3f6c13d1905cdde4313ea29f,Ella Fahie,2025-10-05T20:17:27.000-04:00,fix: updated node-sass to sass,https://github.com/ella-jennings/lost-cities-calculator/commit/c72b8652f378b4ad3f6c13d1905cdde4313ea29f
shub197/cinema-box,88ebcb5ae7af1f72af98311e983fa4944c4ca227,Shubham Tak,2025-10-12T18:53:11.000+05:30,Fix: remove node sass and use sass,https://github.com/shub197/cinema-box/commit/88ebcb5ae7af1f72af98311e983fa4944c4ca227
syntx1997/react-php-frontend,9ce405c56fb5afb6e895ae3d2cb6b5da6cf14d55,Harley Ferrer Lumagui,2025-10-01T10:28:28.000+08:00,Merge pull request #3 from syntx1997/dependabot/npm_and_yarn/node-sass-7.0.0,https://github.com/syntx1997/react-php-frontend/commit/9ce405c56fb5afb6e895ae3d2cb6b5da6cf14d55
lineuslocal/unistars-front-end,3431b9e1c23991e83b679a2a54ff3ad1fb879cb7,ddthien,2025-09-24T15:22:59.000+07:00,Merge pull request #22 from lineuslocal/dependabot/npm_and_yarn/node-sass-7.0.0,https://github.com/lineuslocal/unistars-front-end/commit/3431b9e1c23991e83b679a2a54ff3ad1fb879cb7
IgorSelin/sw-chat,da0edade4746ee14242fced1e91bb0290da2f472,IgorSelin,2025-09-12T18:51:06.000+03:00,removed node-sass,https://github.com/IgorSelin/sw-chat/commit/da0edade4746ee14242fced1e91bb0290da2f472
Svetac27/dla,3c70992f0964bf4c537ef05349eb026d514355f0,Boris Spremo,2025-10-03T14:13:04.000+02:00,uninstall node-sass and install sass,https://github.com/Svetac27/dla/commit/3c70992f0964bf4c537ef05349eb026d514355f0
noyama-duo/homebrew-core,681b3be6591de5abf2c88dbaca272efcc156605f,BrewTestBot,2025-09-23T23:20:59.000Z,node-sass 1.93.2,https://github.com/noyama-duo/homebrew-core/commit/681b3be6591de5abf2c88dbaca272efcc156605f
celalaygar/Building-Management-System-SpringBoot-and-React,1e94351de73fbbf82895572fdd5b24c7e5296024,dependabot[bot],2025-09-16T00:49:58.000Z,Bump cross-spawn and node-sass in /frontend,https://github.com/celalaygar/Building-Management-System-SpringBoot-and-React/commit/1e94351de73fbbf82895572fdd5b24c7e5296024
celalaygar/Building-Management-System-SpringBoot-and-React,2869707b1215d4408a8b103d1ffdf0bca0dd9df7,dependabot[bot],2025-09-16T00:49:57.000Z,Bump tar and node-sass in /frontend,https://github.com/celalaygar/Building-Management-System-SpringBoot-and-React/commit/2869707b1215d4408a8b103d1ffdf0bca0dd9df7
noyama-duo/homebrew-core,a7081753d0eabbfd46edd93b72d05931c32b45c4,BrewTestBot,2025-09-22T23:09:24.000Z,node-sass 1.93.1,https://github.com/noyama-duo/homebrew-core/commit/a7081753d0eabbfd46edd93b72d05931c32b45c4
