full_name,html_url,downloads_url,created_at,updated_at,stargazers_count,language,has_issues,has_projects,has_downloads,forks_count,archived,disabled,open_issues_count,default_branch,subscribers_count,organization/type,commits_count,contr_count
codefordenver/Comrad,https://github.com/codefordenver/Comrad,https://api.github.com/repos/codefordenver/Comrad/downloads,2018-06-12 02:51:15+00:00,2025-07-25 16:27:50+00:00,25.0,JavaScript,True,True,True,9.0,False,False,90.0,main,22.0,Organization,2408.0,18
BlenderWang/strapi-gatsby-site,https://github.com/BlenderWang/strapi-gatsby-site,https://api.github.com/repos/BlenderWang/strapi-gatsby-site/downloads,2019-12-21 21:16:56+00:00,2025-08-14 07:40:13+00:00,0.0,JavaScript,True,True,True,0.0,False,False,6.0,master,0.0,,19.0,2
anac2828/trillo,https://github.com/anac2828/trillo,https://api.github.com/repos/anac2828/trillo/downloads,2023-02-23 20:54:05+00:00,2025-08-09 00:40:23+00:00,0.0,SCSS,True,True,True,0.0,False,False,0.0,master,1.0,,8.0,1
richierome/Portfolio,https://github.com/richierome/Portfolio,https://api.github.com/repos/richierome/Portfolio/downloads,2019-09-26 23:23:36+00:00,2025-09-29 11:19:53+00:00,0.0,CSS,True,True,True,0.0,False,False,15.0,master,1.0,,73.0,1
naren18072005/glow24-,https://github.com/naren18072005/glow24-,https://api.github.com/repos/naren18072005/glow24-/downloads,2025-03-12 06:34:20+00:00,2025-07-27 17:01:06+00:00,0.0,TypeScript,True,True,True,0.0,False,False,0.0,main,1.0,,78.0,1
hlsitechio/flexioapp,https://github.com/hlsitechio/flexioapp,https://api.github.com/repos/hlsitechio/flexioapp/downloads,2025-08-07 16:13:55+00:00,2025-08-19 10:32:23+00:00,0.0,TypeScript,True,True,True,0.0,False,False,1.0,main,0.0,,702.0,1
shubhamsd878/swagZinn-frontend-NextJS,https://github.com/shubhamsd878/swagZinn-frontend-NextJS,https://api.github.com/repos/shubhamsd878/swagZinn-frontend-NextJS/downloads,2025-09-07 15:59:41+00:00,2025-09-20 13:17:57+00:00,0.0,JavaScript,True,True,True,0.0,False,False,0.0,main,0.0,,14.0,1
DLC-engineering-s-r-o/dlc,https://github.com/DLC-engineering-s-r-o/dlc,https://api.github.com/repos/DLC-engineering-s-r-o/dlc/downloads,2022-03-01 06:35:30+00:00,2025-08-29 11:48:03+00:00,0.0,SCSS,True,True,True,0.0,False,False,0.0,main,1.0,Organization,84.0,2
parjanyaacoder/Digi_classes,https://github.com/parjanyaacoder/Digi_classes,https://api.github.com/repos/parjanyaacoder/Digi_classes/downloads,2025-08-24 16:09:20+00:00,2025-08-24 17:35:03+00:00,0.0,JavaScript,True,True,True,0.0,False,False,0.0,master,0.0,,4.0,1
onokje/rocketfactory,https://github.com/onokje/rocketfactory,https://api.github.com/repos/onokje/rocketfactory/downloads,2019-01-16 19:43:17+00:00,2025-07-29 10:06:34+00:00,0.0,JavaScript,True,True,True,0.0,False,False,2.0,master,1.0,,100.0,2
