repo,sha,author,date,message,url,stars,contributors,description,total_commits
NathanScott85/imperatus-accounting,79bd251548cc397fc84d594e7ab1524edacca6bc,Jonathan,2025-09-05T22:32:38.000+01:00,Replace node-sass with sass for Vercel compatibility,https://github.com/NathanScott85/imperatus-accounting/commit/79bd251548cc397fc84d594e7ab1524edacca6bc,0.0,1.0,Accounting software,32.0
fredLamonica/smarkets-small,4461e23997a650c1cf478abfc808f042ad4e5c1d,fredLamonica,2025-09-10T14:31:44.000-03:00,Replace node-sass with sass for Node.js compatibility,https://github.com/fredLamonica/smarkets-small/commit/4461e23997a650c1cf478abfc808f042ad4e5c1d,0.0,1.0,,12.0
PraisesAmaiyo/Apex-Analytics-Limited,f8f604a9bd1c44f20682adf7493df5bb3da3121c,Amaiyo Praises,2025-09-06T03:45:46.000+01:00,MOD: Moved to sass from depreciated node-sass,https://github.com/PraisesAmaiyo/Apex-Analytics-Limited/commit/f8f604a9bd1c44f20682adf7493df5bb3da3121c,0.0,1.0,,47.0
alfahami/html-css-sass,c633d89244ff5370364f866f0b530d22a0aa3044,dependabot[bot],2025-07-29T10:58:46.000Z,Bump scss-tokenizer and node-sass in /Sass/sass_sandbox,https://github.com/alfahami/html-css-sass/commit/c633d89244ff5370364f866f0b530d22a0aa3044,3.0,1.0,Notes from Brad Traversy Modern HTML & CSS From The Begining (including SASS) UDEMY Courses.,57.0
ZuzanaOchmanova/my-static-web-app-and-api,03e27b7e1434919bbf02a6dc4c5535c262cb6952,ZuzanaOchmanova,2025-08-18T23:05:04.000+02:00,chore: replace node-sass with sass,https://github.com/ZuzanaOchmanova/my-static-web-app-and-api/commit/03e27b7e1434919bbf02a6dc4c5535c262cb6952,0.0,1.0,Microsoft learn app,10.0
apache/atlas,23c9596559a98a6f34dca5df32dbc1fc26ebc45c,Prasad Pawar,2025-09-25T17:46:49.000+05:30,ATLAS-5137: Atlas UI: Replace Node-Sass with Sass library. (#443),https://github.com/apache/atlas/commit/23c9596559a98a6f34dca5df32dbc1fc26ebc45c,2009.0,1.0,Apache Atlas - Open Metadata Management and Governance capabilities across the Hadoop platform and beyond,4015.0
funmaker/JanuszV2,9411cc908cadb7dc9f08ab7c5121dfec25c05b82,dependabot[bot],2025-08-03T17:08:22.000Z,Bump form-data and node-sass,https://github.com/funmaker/JanuszV2/commit/9411cc908cadb7dc9f08ab7c5121dfec25c05b82,4.0,1.0,Multifunctional Chat Bot - Janusz V2,160.0
ipatch/homebrew-core-catalina,a1675b8290d9f6b12dcaf6c2518222a4fa34e896,BrewTestBot,2025-08-25T23:49:37.000Z,node-sass: update 1.91.0 bottle.,https://github.com/ipatch/homebrew-core-catalina/commit/a1675b8290d9f6b12dcaf6c2518222a4fa34e896,0.0,1.0,alt homebrew-core for macos catalina attempt to set repo to allow CI to build bottles for macos 10.15,666593.0
AdityaRitpurkar/Mern-todo-app,075c56cc7477bbe1220f1a4a78de8737f43b8acd,Aditya Ritpurkar,2025-09-14T02:04:47.000+05:30,Remove node-sass and switch to sass for Render compatibility,https://github.com/AdityaRitpurkar/Mern-todo-app/commit/075c56cc7477bbe1220f1a4a78de8737f43b8acd,0.0,1.0,,4.0
gladielf/vue-svg-chart,2bdd2e4566f06332ce3d4dae5b9edde5abc0dadd,Fermín Conejo Baltasar,2025-08-03T12:47:25.000+02:00,Merge pull request #1 from gladielf/dependabot/npm_and_yarn/node-sass-7.0.0,https://github.com/gladielf/vue-svg-chart/commit/2bdd2e4566f06332ce3d4dae5b9edde5abc0dadd,0.0,1.0,chart made with svg and vuejs,65.0
